taxonomy,exp_id,experiment,sample_type,media,subculture_time,preculture_time,c18positive,c18negative,hilicpositive,culture_source,grouped_taxonomy,kingdom,phylum,class,order,family,genus,species,strain,morphology
Clostridioides difficile ATCC BAA-1801,44,20180728,supernatant,bhis,,,s02700,s02504,s02306,c0283,Clostridioides difficile,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridioides,difficile,BAA-1801,
Clostridioides difficile ATCC BAA-1801,45,20180728,supernatant,bhis,,,s02701,s02505,s02307,c0283,Clostridioides difficile,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridioides,difficile,BAA-1801,
,46,20180720,media_blank,mm,31.25,33.75,s02889,s02223,s02146,,,,,,,,,,,
Atopobium parvulum CC14Z BEI HM-1035,47,20181030,supernatant,mm,16,30,s03078,s03179,s02977,c0238,Atopobium parvulum,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Atopobiaceae,Atopobium,parvulum,CC14Z,
Enterobacter cancerogenus ATCC 35316,48,20180716,supernatant,mm,16,29,s01787,s01907,s02017,c0276,Enterobacter cancerogenus,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacter,cancerogenus,,
Enterobacter cancerogenus ATCC 35316,49,20180716,supernatant,mm,16,29,s01788,s01908,s02018,c0276,Enterobacter cancerogenus,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacter,cancerogenus,,
Enterobacter cancerogenus ATCC 35316,50,20180716,supernatant,mm,16,29,s01789,s01911,s02019,c0276,Enterobacter cancerogenus,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacter,cancerogenus,,
Dorea longicatena DSMZ 13814,51,20181030,supernatant,mm,12,30,s03037,s03138,s02936,c0087,Dorea longicatena,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Dorea,longicatena,,
Bacteroides coprophilus DSMZ 18228,52,20180629,supernatant,mm,24,25,s01574,s01392,s01204,c0164,Bacteroides coprophilus,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,coprophilus,,
Bacteroides coprophilus DSMZ 18228,53,20180629,supernatant,mm,24,25,s01575,s01393,s01205,c0164,Bacteroides coprophilus,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,coprophilus,,
Bacteroides coprophilus DSMZ 18228,54,20180629,supernatant,mm,24,25,s01576,s01394,s01206,c0164,Bacteroides coprophilus,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,coprophilus,,
Bacteroides finegoldii DSMZ 17565,65,20180720,supernatant,mm,31.25,33.75,s02883,s02218,s02141,c0177,Bacteroides finegoldii,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,finegoldii,,
Tyzzerella nexilis DSM 1787,69,20180512,supernatant,mm,12,24,s00069,s00185,s00639,c0056,Tyzzerella nexilis,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridaceae,Tyzzerella,nexilis,,
Tyzzerella nexilis DSM 1787,70,20180512,supernatant,mm,12,24,s00070,s00186,s00640,c0056,Tyzzerella nexilis,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridaceae,Tyzzerella,nexilis,,
Tyzzerella nexilis DSM 1787,71,20180512,supernatant,mm,12,24,s00071,s00187,s00641,c0056,Tyzzerella nexilis,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridaceae,Tyzzerella,nexilis,,
Tyzzerella nexilis DSM 1787,72,20180512,supernatant,mm,12,24,s00072,s00188,s00642,c0056,Tyzzerella nexilis,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridaceae,Tyzzerella,nexilis,,
Tyzzerella nexilis DSM 1787,73,20180512,supernatant,mm,12,24,s00073,s00189,s00643,c0056,Tyzzerella nexilis,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridaceae,Tyzzerella,nexilis,,
Blautia producta DMSZ 2950,74,20180512,supernatant,mm,12,24,s00025,s00145,s00233,c0020,Blautia producta,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,producta,,
Blautia producta DMSZ 2950,75,20180512,supernatant,mm,12,24,s00026,s00146,s00234,c0020,Blautia producta,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,producta,,
Blautia producta DMSZ 2950,76,20180512,supernatant,mm,12,24,s00027,s00147,s00235,c0020,Blautia producta,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,producta,,
Blautia producta DMSZ 2950,77,20180512,supernatant,mm,12,24,,s00148,s00236,c0020,Blautia producta,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,producta,,
Blautia producta DMSZ 2950,78,20180512,supernatant,mm,12,24,s00029,s00149,s00237,c0020,Blautia producta,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,producta,,
,79,20180728,media_blank,ycfag,46.5,40,s02754,s02558,s02361,,,,,,,,,,,
,80,20180728,media_blank,ycfag,,,s02755,s02559,s02362,,,,,,,,,,,
,81,20180728,media_blank,ycfag,,,s02756,s02560,s02363,,,,,,,,,,,
Clostridium scindens ATCC 35704,82,20180720,supernatant,mm,31.25,33.75,s02864,s02199,s02122,c0062,Clostridium scindens,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridaceae,Clostridium,scindens,,
Bacteroides sp. 2_1_16 BEI HM-58,83,20180629,supernatant,mm,24,25,s01697,,s01327,c0215,Bacteroides,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,,2_1_16,
Bacteroides sp. 2_1_16 BEI HM-58,84,20180629,supernatant,mm,24,25,s01698,s01531,s01328,c0215,Bacteroides,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,,2_1_16,
Bacteroides sp. 2_1_16 BEI HM-58,85,20180629,supernatant,mm,24,25,s01699,s01532,s01329,c0215,Bacteroides,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,,2_1_16,
,86,20180720,media_blank,rcml,31.25,33.75,s02894,s02228,s02151,,,,,,,,,,,
Ruminococcus lactaris CC59_002D BEI HM-1057,87,20180716,supernatant,mm,16,29,s01823,s01945,s02053,c0135,Ruminococcus lactaris,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,lactaris,CC59_002D,
Ruminococcus lactaris CC59_002D BEI HM-1057,88,20180716,supernatant,mm,16,29,s01824,s01946,s02054,c0135,Ruminococcus lactaris,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,lactaris,CC59_002D,
Ruminococcus lactaris CC59_002D BEI HM-1057,89,20180716,supernatant,mm,16,29,s01825,s01947,s02055,c0135,Ruminococcus lactaris,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,lactaris,CC59_002D,
Bacteroides thetaiotaomicron 633,90,20180629,supernatant,mm,24,25,s01643,s01461,s01273,c0193,Bacteroides thetaiotaomicron,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,thetaiotaomicron,633,
Bacteroides thetaiotaomicron 633,91,20180629,supernatant,mm,24,25,s01644,s01462,s01274,c0193,Bacteroides thetaiotaomicron,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,thetaiotaomicron,633,
Bacteroides thetaiotaomicron 633,92,20180629,supernatant,mm,24,25,s01645,s01463,s01275,c0193,Bacteroides thetaiotaomicron,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,thetaiotaomicron,633,
Bifidobacterium breve UCC2003,94,20180728,supernatant,mm,21,40,s02647,s02451,s02253,c0243,Bifidobacterium breve,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,breve,UCC2003,
Bifidobacterium breve UCC2003,95,20180728,supernatant,mm,,,s02648,s02452,s02254,c0243,Bifidobacterium breve,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,breve,UCC2003,
Bifidobacterium breve UCC2003,96,20180728,supernatant,mm,,,s02649,s02453,s02255,c0243,Bifidobacterium breve,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,breve,UCC2003,
Bacteroides thetaiotaomicron wh302,97,20181030,supernatant,mm,12,30,s03024,s03125,s02923,c0202,Bacteroides thetaiotaomicron,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,thetaiotaomicron,wh302,
Bifidobacterium bifidum DSMZ 20456,99,20180716,supernatant,mm,27,29,s01845,s01962.4,s02075,c0242,Bifidobacterium bifidum,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,bifidum,,
Bifidobacterium bifidum DSMZ 20456,100,20180716,supernatant,mm,27,29,s01846,s01962.5,s02076,c0242,Bifidobacterium bifidum,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,bifidum,,
Clostridium cadaveris CC88A BEI HM-1041,105,20181030,supernatant,mm,12,30,s03028,s03129,s02927,c0043,Clostridium cadaveris,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridaceae,Clostridium,cadaveris,CC88A,
Bacteroides finegoldii CL09T03C10 BEI HM-727,114,20181030,supernatant,mm,12,30,s03052,s03153,s02951,c0175,Bacteroides finegoldii,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,finegoldii,CL09T03C10,
Clostridium saccharolyticum WM1 DSMZ 2544,120,20180618,supernatant,mm,12,24,s00942,s00773,s01103,c0061,Clostridium saccharolyticum,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridaceae,Clostridium,saccharolyticum,WM1,
Clostridium saccharolyticum WM1 DSMZ 2544,121,20180618,supernatant,mm,12,24,s00943,s00774,s01104,c0061,Clostridium saccharolyticum,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridaceae,Clostridium,saccharolyticum,WM1,
Clostridium saccharolyticum WM1 DSMZ 2544,122,20180618,supernatant,mm,12,24,s00944,s00775,s01105,c0061,Clostridium saccharolyticum,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridaceae,Clostridium,saccharolyticum,WM1,
Edwardsiella tarda ATCC 23685,123,20181030,supernatant,pyg,12,30,s03073,s03174,s02972,c0274,Edwardsiella tarda,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Hafniaceae,Edwardsiella,tarda,,
Clostridium citroniae WAL-17108 BEI HM-315,125,20180512,supernatant,mm,12,24,s00455,s00331,s00578,c0045,Clostridium citroniae,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridaceae,Clostridium,citroniae,WAL-17108,
Clostridium citroniae WAL-17108 BEI HM-315,126,20180512,supernatant,mm,12,24,s00456,s00332,s00579,c0045,Clostridium citroniae,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridaceae,Clostridium,citroniae,WAL-17108,
Clostridium citroniae WAL-17108 BEI HM-315,127,20180512,supernatant,mm,12,24,s00457,s00333,s00580,c0045,Clostridium citroniae,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridaceae,Clostridium,citroniae,WAL-17108,
Clostridium citroniae WAL-17108 BEI HM-315,128,20180512,supernatant,mm,12,24,s00458,s00334,s00581,c0045,Clostridium citroniae,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridaceae,Clostridium,citroniae,WAL-17108,
Holdemanella biformis DSMZ 3989,133,20180618,supernatant,mm,12,24,s00978,,s01139,c0095,Holdemanella biforme,Bacteria,Firmicutes,Clostridia,Clostridiales,Erysipelotrichaceae,Holdemanella,biforme,,
Holdemanella biformis DSMZ 3989,134,20180618,supernatant,mm,12,24,s00979,s00812,s01140,c0095,Holdemanella biforme,Bacteria,Firmicutes,Clostridia,Clostridiales,Erysipelotrichaceae,Holdemanella,biforme,,
Holdemanella biformis DSMZ 3989,135,20180618,supernatant,mm,12,24,s00980,s00813,s01141,c0095,Holdemanella biforme,Bacteria,Firmicutes,Clostridia,Clostridiales,Erysipelotrichaceae,Holdemanella,biforme,,
Bacteroides thetaiotaomicron 8736,136,20180629,supernatant,mm,24,25,s01667,s01485,s01297,c0201,Bacteroides thetaiotaomicron,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,thetaiotaomicron,8736,
Bacteroides thetaiotaomicron 8736,137,20180629,supernatant,mm,24,25,s01668,s01486,s01298,c0201,Bacteroides thetaiotaomicron,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,thetaiotaomicron,8736,
Bacteroides thetaiotaomicron 8736,138,20180629,supernatant,mm,24,25,s01669,s01487,s01299,c0201,Bacteroides thetaiotaomicron,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,thetaiotaomicron,8736,
Bacteroides sp. 1_1_6 BEI HM-23,145,20180629,supernatant,mm,24,25,s01694,s01527,s01324,c0214,Bacteroides,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,,1_1_6,
Bacteroides sp. 1_1_6 BEI HM-23,146,20180629,supernatant,mm,24,25,s01695,s01528,s01325,c0214,Bacteroides,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,,1_1_6,
Bacteroides sp. 1_1_6 BEI HM-23,147,20180629,supernatant,mm,24,25,s01696,,s01326,c0214,Bacteroides,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,,1_1_6,
Clostridioides difficile ATCC BAA-1801,148,20180728,supernatant,rcmwoa,21,40,s02650,s02454,s02256,c0283,Clostridioides difficile,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridioides,difficile,BAA-1801,
Clostridioides difficile ATCC BAA-1801,149,20180728,supernatant,rcmwoa,,,s02651,s02455,s02257,c0283,Clostridioides difficile,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridioides,difficile,BAA-1801,
Clostridioides difficile ATCC BAA-1801,150,20180728,supernatant,rcmwoa,,,s02652,s02456,s02258,c0283,Clostridioides difficile,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridioides,difficile,BAA-1801,
,151,20181030,media_blank,mm,16,30,s03012,s03113,s02911,,,,,,,,,,,
Prevotella buccae D17,158,20190228,supernatant,pyg,17.25,,s03848,s03688,s03543,c0410,Prevotella buccae,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,buccae,D17,
Prevotella buccae D17,159,20190228,supernatant,pyg,17.25,,s03849,s03689,s03544,c0410,Prevotella buccae,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,buccae,D17,
Prevotella buccae D17,160,20190228,supernatant,pyg,17.25,,s03850,s03690,s03545,c0410,Prevotella buccae,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,buccae,D17,
Clostridium symbiosum BEI HM-309,161,20180618,supernatant,mm,12,24,s00951,s00782,s01112,c0068,Clostridium symbiosum,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridaceae,Clostridium,symbiosum,,
Clostridium symbiosum BEI HM-309,162,20180618,supernatant,mm,12,24,s00952,s00783,s01113,c0068,Clostridium symbiosum,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridaceae,Clostridium,symbiosum,,
Clostridium symbiosum BEI HM-309,163,20180618,supernatant,mm,12,24,s00953,s00784,s01114,c0068,Clostridium symbiosum,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridaceae,Clostridium,symbiosum,,
Coprococcus sp. HPP0048 BEI HM-794,170,20181030,supernatant,mm,12,30,s03016,s03117,s02915,c0080,Coprococcus,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus,,HPP0048,
Veillonella sp. HPA0037 BEI HM-850,174,20180720,supernatant,rcml,12,33.75,s02835,s02171,s02094,c0361,Veillonella,Bacteria,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Veillonella,,HPA0037,
Clostridium asparagiforme DSMZ 15981,175,20180618,supernatant,mm,12,24,s00895,s00721,s01058,c0036,Clostridium asparagiforme,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridaceae,Clostridium,asparagiforme,,
Clostridium asparagiforme DSMZ 15981,176,20180618,supernatant,mm,12,24,s00896,s00722,s01059,c0036,Clostridium asparagiforme,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridaceae,Clostridium,asparagiforme,,
Clostridium asparagiforme DSMZ 15981,177,20180618,supernatant,mm,12,24,s00897,s00723,s01060,c0036,Clostridium asparagiforme,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridaceae,Clostridium,asparagiforme,,
Prevotella oralis CC98A BEI HM-1054,182,20180728,supernatant,pyg,46.5,40,s02775,s02579,s02383,c0359,Prevotella oralis,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,oralis,CC98A,
Prevotella oralis CC98A BEI HM-1054,183,20180728,supernatant,pyg,,,s02776,s02580,s02384,c0359,Prevotella oralis,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,oralis,CC98A,
Prevotella oralis CC98A BEI HM-1054,184,20180728,supernatant,pyg,,,s02777,s02581,s02385,c0359,Prevotella oralis,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,oralis,CC98A,
Clostridium clostridioforme WAL-7855 BEI HM-317,185,20180618,supernatant,mm,12,24,s00925,s00753,s01088,c0047,Clostridium clostridioforme,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridaceae,Clostridium,clostridioforme,WAL-7855,
Clostridium clostridioforme WAL-7855 BEI HM-317,186,20180618,supernatant,mm,12,24,s00926,s00754,s01089,c0047,Clostridium clostridioforme,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridaceae,Clostridium,clostridioforme,WAL-7855,
Clostridium clostridioforme WAL-7855 BEI HM-317,187,20180618,supernatant,mm,12,24,s00927,s00755,s01090,c0047,Clostridium clostridioforme,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridaceae,Clostridium,clostridioforme,WAL-7855,
Prevotella oralis HGA0225 BEI HM-849,191,20190228,supernatant,pyg,17.25,,s03857,s03697,s03552,c0405,Prevotella oralis,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,oralis,HGA0225,
Prevotella oralis HGA0225 BEI HM-849,192,20190228,supernatant,pyg,17.25,,s03858,s03698,s03553,c0405,Prevotella oralis,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,oralis,HGA0225,
Prevotella oralis HGA0225 BEI HM-849,193,20190228,supernatant,pyg,17.25,,s03859,s03699,s03554,c0405,Prevotella oralis,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,oralis,HGA0225,
Parabacteroides merdae ATCC 43184,194,20180728,supernatant,mm,46.5,40,s02760,s02564,s02367,c0184,Parabacteroides merdae,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,merdae,,
Parabacteroides merdae ATCC 43184,196,20180728,supernatant,mm,,,s02762,s02566,s02369,c0184,Parabacteroides merdae,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,merdae,,
Bacteroides thetaiotaomicron 7330,202,20180629,supernatant,mm,24,25,s01655,s01473,s01285,c0197,Bacteroides thetaiotaomicron,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,thetaiotaomicron,7330,
