"id","taxid","domain","kingdom","phylum","class","order","family","genus","species","Metabolite","foldchange_abundance","Manual_label"
"Phocaeicola_vulgatus_ATCC_8482",435590,"Bacteria","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola_vulgatus","ORNITHINE",0.0466602420889551,
"Phocaeicola_vulgatus_ATCC_8482",435590,"Bacteria","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola_vulgatus","CITRULLINE",0.0352842954950016,
"Bacteroides_fragilis_3_1_12",457424,"Bacteria","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides_fragilis","PUTRESCINE",0.0280145982182834,
"Bacteroides_fragilis_3_1_12",457424,"Bacteria","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides_fragilis","AGMATINE",0.00231540662533777,
"Bacteroides_fragilis_3_1_12",457424,"Bacteria","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides_fragilis","ORNITHINE",0.0161995195384313,
"Bacteroides_fragilis_3_1_12",457424,"Bacteria","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides_fragilis","CITRULLINE",,
"Eubacterium_rectale_ATCC_33656",515619,"Bacteria","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Eubacterium_rectale__S+","Eubacterium_rectale","PUTRESCINE",0.0323271522825733,
"Eubacterium_rectale_ATCC_33656",515619,"Bacteria","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Eubacterium_rectale__S+","Eubacterium_rectale","AGMATINE",0.00159728874764115,
"Eubacterium_rectale_ATCC_33656",515619,"Bacteria","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Eubacterium_rectale__S+","Eubacterium_rectale","ORNITHINE",0.013035647380682,
"Eubacterium_rectale_ATCC_33656",515619,"Bacteria","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Eubacterium_rectale__S+","Eubacterium_rectale","CITRULLINE",0.0570870171406304,
"s__Bacillus_sp_7_6_55CFAA_CT2",665957,"Bacteria","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus_sp_7_6_55CFAA_CT2","PUTRESCINE",0.0459517637424987,"s__Bacillus_sp_7_6_55CFAA_CT2"
"s__Bacillus_sp_7_6_55CFAA_CT2",665957,"Bacteria","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus_sp_7_6_55CFAA_CT2","AGMATINE",0.00231118562904866,"s__Bacillus_sp_7_6_55CFAA_CT2"
"s__Bacillus_sp_7_6_55CFAA_CT2",665957,"Bacteria","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus_sp_7_6_55CFAA_CT2","ORNITHINE",0.35812123017483,"s__Bacillus_sp_7_6_55CFAA_CT2"
"s__Bacillus_sp_7_6_55CFAA_CT2",665957,"Bacteria","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus_sp_7_6_55CFAA_CT2","CITRULLINE",0.240069537204684,"s__Bacillus_sp_7_6_55CFAA_CT2"
"Collinsella_aerofaciens_ATCC_25986",411903,"Bacteria","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella","Collinsella_aerofaciens","PUTRESCINE",0.151234291863282,"Collinsella_aerofaciens_ATCC_25986"
"Collinsella_aerofaciens_ATCC_25986",411903,"Bacteria","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella","Collinsella_aerofaciens","AGMATINE",0,"Collinsella_aerofaciens_ATCC_25986"
"Collinsella_aerofaciens_ATCC_25986",411903,"Bacteria","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella","Collinsella_aerofaciens","ORNITHINE",0.653558456524902,"Collinsella_aerofaciens_ATCC_25986"
"Collinsella_aerofaciens_ATCC_25986",411903,"Bacteria","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella","Collinsella_aerofaciens","CITRULLINE",0.68712484850371,"Collinsella_aerofaciens_ATCC_25986"
"Bifidobacterium_breve_DSM_20213_JCM_1192",518634,"Bacteria","Bacteria","Actinobacteria","Actinomycetia","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium_breve","PUTRESCINE",0.155037108385138,"Bifidobacterium_breve_DSM_20213_JCM_1192"
"Bifidobacterium_breve_DSM_20213_JCM_1192",518634,"Bacteria","Bacteria","Actinobacteria","Actinomycetia","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium_breve","AGMATINE",0.00169486288467244,"Bifidobacterium_breve_DSM_20213_JCM_1192"
"Bifidobacterium_breve_DSM_20213_JCM_1192",518634,"Bacteria","Bacteria","Actinobacteria","Actinomycetia","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium_breve","ORNITHINE",0.0427657993206045,"Bifidobacterium_breve_DSM_20213_JCM_1192"
"Bifidobacterium_breve_DSM_20213_JCM_1192",518634,"Bacteria","Bacteria","Actinobacteria","Actinomycetia","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium_breve","CITRULLINE",0.105931287637734,"Bifidobacterium_breve_DSM_20213_JCM_1192"
"s__Coprococcus_sp_HPP0048",1078091,"Bacteria","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Coprococcus","Coprococcus_sp_HPP0048","PUTRESCINE",0.0247757492979949,
"s__Coprococcus_sp_HPP0048",1078091,"Bacteria","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Coprococcus","Coprococcus_sp_HPP0048","AGMATINE",0.000932661908870196,
"s__Coprococcus_sp_HPP0048",1078091,"Bacteria","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Coprococcus","Coprococcus_sp_HPP0048","ORNITHINE",0.0163708909497258,
"s__Coprococcus_sp_HPP0048",1078091,"Bacteria","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Coprococcus","Coprococcus_sp_HPP0048","CITRULLINE",,
"s__Bacteroides_sp_2_1_22",469588,"Bacteria","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides_sp_2_1_22","PUTRESCINE",0.0326423192006941,
"s__Bacteroides_sp_2_1_22",469588,"Bacteria","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides_sp_2_1_22","AGMATINE",0.000661851905173131,
"s__Bacteroides_sp_2_1_22",469588,"Bacteria","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides_sp_2_1_22","ORNITHINE",0.0159896240296051,
"s__Bacteroides_sp_2_1_22",469588,"Bacteria","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides_sp_2_1_22","CITRULLINE",,
"Phocaeicola_dorei_5_1_36_D4",556260,"Bacteria","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola_dorei","PUTRESCINE",0.0172650803732499,
"Phocaeicola_dorei_5_1_36_D4",556260,"Bacteria","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola_dorei","AGMATINE",0.00967295361075195,
"Phocaeicola_dorei_5_1_36_D4",556260,"Bacteria","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola_dorei","ORNITHINE",0.0577551139977902,
"Phocaeicola_dorei_5_1_36_D4",556260,"Bacteria","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola_dorei","CITRULLINE",0.0359478221484976,
"Enterococcus_faecalis_TX1322",525278,"Bacteria","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus_faecalis","PUTRESCINE",0.038508427693671,"Enterococcus_faecalis_TX1322"
"Enterococcus_faecalis_TX1322",525278,"Bacteria","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus_faecalis","AGMATINE",0.00229021311012488,"Enterococcus_faecalis_TX1322"
"Enterococcus_faecalis_TX1322",525278,"Bacteria","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus_faecalis","ORNITHINE",1,"Enterococcus_faecalis_TX1322"
"Enterococcus_faecalis_TX1322",525278,"Bacteria","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus_faecalis","CITRULLINE",0.254743849838603,"Enterococcus_faecalis_TX1322"
"Clostridium_cadaveris_CC44_001G",1073356,"Bacteria","Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium_cadaveris","PUTRESCINE",0.897249066497593,"Clostridium_cadaveris_CC44_001G"
"Clostridium_cadaveris_CC44_001G",1073356,"Bacteria","Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium_cadaveris","AGMATINE",0.00467421858587259,"Clostridium_cadaveris_CC44_001G"
"Clostridium_cadaveris_CC44_001G",1073356,"Bacteria","Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium_cadaveris","ORNITHINE",0.101794248567318,"Clostridium_cadaveris_CC44_001G"
"Clostridium_cadaveris_CC44_001G",1073356,"Bacteria","Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium_cadaveris","CITRULLINE",0.485379811336462,"Clostridium_cadaveris_CC44_001G"
"Bacteroides_caccae_ATCC_43185",411901,"Bacteria","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides_caccae","PUTRESCINE",0.0369673026541944,
"Bacteroides_caccae_ATCC_43185",411901,"Bacteria","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides_caccae","AGMATINE",0.00073261608058662,
"Bacteroides_caccae_ATCC_43185",411901,"Bacteria","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides_caccae","ORNITHINE",0.020869955896946,
"Bacteroides_caccae_ATCC_43185",411901,"Bacteria","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides_caccae","CITRULLINE",,
"Clostridium_scindens_ATCC_35704",411468,"Bacteria","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Lachnoclostridium","Clostridium_scindens","PUTRESCINE",0.0868810841313621,"Clostridium_scindens_ATCC_35704"
"Clostridium_scindens_ATCC_35704",411468,"Bacteria","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Lachnoclostridium","Clostridium_scindens","AGMATINE",0.00196536861371843,"Clostridium_scindens_ATCC_35704"
"Clostridium_scindens_ATCC_35704",411468,"Bacteria","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Lachnoclostridium","Clostridium_scindens","ORNITHINE",0.0288194081246099,"Clostridium_scindens_ATCC_35704"
"Clostridium_scindens_ATCC_35704",411468,"Bacteria","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Lachnoclostridium","Clostridium_scindens","CITRULLINE",0.219587826091817,"Clostridium_scindens_ATCC_35704"
"Clostridium_saccharolyticum_WM1",610130,"Bacteria","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Lacrimispora","Lacrimispora_saccharolytica","PUTRESCINE",0.0545359342513899,
"Clostridium_saccharolyticum_WM1",610130,"Bacteria","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Lacrimispora","Lacrimispora_saccharolytica","AGMATINE",0.00240089007554978,
"Clostridium_saccharolyticum_WM1",610130,"Bacteria","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Lacrimispora","Lacrimispora_saccharolytica","ORNITHINE",0.0167021287486993,
"Clostridium_saccharolyticum_WM1",610130,"Bacteria","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Lacrimispora","Lacrimispora_saccharolytica","CITRULLINE",0.0546026251060298,
"Limosilactobacillus_reuteri_CF48_3A",525341,"Bacteria","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Limosilactobacillus","Limosilactobacillus_reuteri","PUTRESCINE",0.0326643830698074,"Limosilactobacillus_reuteri_CF48_3A"
"Limosilactobacillus_reuteri_CF48_3A",525341,"Bacteria","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Limosilactobacillus","Limosilactobacillus_reuteri","AGMATINE",0.00112731248864476,"Limosilactobacillus_reuteri_CF48_3A"
"Limosilactobacillus_reuteri_CF48_3A",525341,"Bacteria","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Limosilactobacillus","Limosilactobacillus_reuteri","ORNITHINE",0.713533500019448,"Limosilactobacillus_reuteri_CF48_3A"
"Limosilactobacillus_reuteri_CF48_3A",525341,"Bacteria","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Limosilactobacillus","Limosilactobacillus_reuteri","CITRULLINE",0.670845149979019,"Limosilactobacillus_reuteri_CF48_3A"
"Bacteroides_xylanisolvens_XB1A",657309,"Bacteria","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides_xylanisolvens","PUTRESCINE",0.038603412284806,
"Bacteroides_xylanisolvens_XB1A",657309,"Bacteria","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides_xylanisolvens","AGMATINE",0.000625465940092096,
"Bacteroides_xylanisolvens_XB1A",657309,"Bacteria","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides_xylanisolvens","ORNITHINE",0.0173730897657745,
"Bacteroides_xylanisolvens_XB1A",657309,"Bacteria","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides_xylanisolvens","CITRULLINE",,
"Eubacterium_ventriosum_ATCC_27560",411463,"Bacteria","Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriaceae","Eubacterium","Eubacterium_ventriosum","PUTRESCINE",0.0390355245599919,"Eubacterium_ventriosum_ATCC_27560"
"Eubacterium_ventriosum_ATCC_27560",411463,"Bacteria","Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriaceae","Eubacterium","Eubacterium_ventriosum","AGMATINE",0.00123523520179439,"Eubacterium_ventriosum_ATCC_27560"
"Eubacterium_ventriosum_ATCC_27560",411463,"Bacteria","Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriaceae","Eubacterium","Eubacterium_ventriosum","ORNITHINE",0.0192842020230834,"Eubacterium_ventriosum_ATCC_27560"
"Eubacterium_ventriosum_ATCC_27560",411463,"Bacteria","Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriaceae","Eubacterium","Eubacterium_ventriosum","CITRULLINE",0.100019029752825,"Eubacterium_ventriosum_ATCC_27560"
"Blautia_hansenii_DSM_20583",537007,"Bacteria","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Blautia","Blautia_hansenii","PUTRESCINE",0.0238066925181186,
"Blautia_hansenii_DSM_20583",537007,"Bacteria","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Blautia","Blautia_hansenii","AGMATINE",0.000851018918044278,
"Blautia_hansenii_DSM_20583",537007,"Bacteria","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Blautia","Blautia_hansenii","ORNITHINE",0.0152210100356063,
"Blautia_hansenii_DSM_20583",537007,"Bacteria","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Blautia","Blautia_hansenii","CITRULLINE",,
"Enterococcus_faecium_TX1330",525279,"Bacteria","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus_faecium","PUTRESCINE",0.0304459469902419,"Enterococcus_faecium_TX1330"
"Enterococcus_faecium_TX1330",525279,"Bacteria","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus_faecium","AGMATINE",0.0010945501167081,"Enterococcus_faecium_TX1330"
"Enterococcus_faecium_TX1330",525279,"Bacteria","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus_faecium","ORNITHINE",0.429355143664775,"Enterococcus_faecium_TX1330"
"Enterococcus_faecium_TX1330",525279,"Bacteria","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus_faecium","CITRULLINE",0.504516565497133,"Enterococcus_faecium_TX1330"
"Fusobacterium_ulcerans_12_1B",457404,"Bacteria","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium","Fusobacterium_ulcerans","PUTRESCINE",0.118363025198174,"Fusobacterium_ulcerans_12_1B"
"Fusobacterium_ulcerans_12_1B",457404,"Bacteria","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium","Fusobacterium_ulcerans","AGMATINE",0.00686432798811013,"Fusobacterium_ulcerans_12_1B"
"Fusobacterium_ulcerans_12_1B",457404,"Bacteria","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium","Fusobacterium_ulcerans","ORNITHINE",0.0123839081449469,"Fusobacterium_ulcerans_12_1B"
"Fusobacterium_ulcerans_12_1B",457404,"Bacteria","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium","Fusobacterium_ulcerans","CITRULLINE",0.0912422769975779,"Fusobacterium_ulcerans_12_1B"
"Streptococcus_thermophilus_LMD_9",322159,"Bacteria","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus_thermophilus","PUTRESCINE",0.0281974249069145,
"Streptococcus_thermophilus_LMD_9",322159,"Bacteria","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus_thermophilus","AGMATINE",0.00164448519231599,
"Streptococcus_thermophilus_LMD_9",322159,"Bacteria","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus_thermophilus","ORNITHINE",0.0247640343519278,
"Streptococcus_thermophilus_LMD_9",322159,"Bacteria","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus_thermophilus","CITRULLINE",0.0265503035111803,
"s__Lachnospiraceae_bacterium_2_1_58FAA",658082,"Bacteria","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Lachnospiraceae_bacterium_2_1_58FAA__S+","Lachnospiraceae_bacterium_2_1_58FAA","PUTRESCINE",0.0280281882783231,
"s__Lachnospiraceae_bacterium_2_1_58FAA",658082,"Bacteria","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Lachnospiraceae_bacterium_2_1_58FAA__S+","Lachnospiraceae_bacterium_2_1_58FAA","AGMATINE",0.00307079902821617,
"s__Lachnospiraceae_bacterium_2_1_58FAA",658082,"Bacteria","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Lachnospiraceae_bacterium_2_1_58FAA__S+","Lachnospiraceae_bacterium_2_1_58FAA","ORNITHINE",0.0161738641695189,
"s__Lachnospiraceae_bacterium_2_1_58FAA",658082,"Bacteria","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Lachnospiraceae_bacterium_2_1_58FAA__S+","Lachnospiraceae_bacterium_2_1_58FAA","CITRULLINE",0.0625011096764457,
"Anaerococcus_lactolyticus_CC31C",1073349,"Bacteria","Bacteria","Firmicutes","Tissierellia","Tissierellales","Peptoniphilaceae","Anaerococcus","Anaerococcus_lactolyticus","PUTRESCINE",0.0477621378078113,"Anaerococcus_lactolyticus_CC31C"
"Anaerococcus_lactolyticus_CC31C",1073349,"Bacteria","Bacteria","Firmicutes","Tissierellia","Tissierellales","Peptoniphilaceae","Anaerococcus","Anaerococcus_lactolyticus","AGMATINE",0.0036652289243675,"Anaerococcus_lactolyticus_CC31C"
"Anaerococcus_lactolyticus_CC31C",1073349,"Bacteria","Bacteria","Firmicutes","Tissierellia","Tissierellales","Peptoniphilaceae","Anaerococcus","Anaerococcus_lactolyticus","ORNITHINE",0.146806563781875,"Anaerococcus_lactolyticus_CC31C"
"Anaerococcus_lactolyticus_CC31C",1073349,"Bacteria","Bacteria","Firmicutes","Tissierellia","Tissierellales","Peptoniphilaceae","Anaerococcus","Anaerococcus_lactolyticus","CITRULLINE",0.119291173900559,"Anaerococcus_lactolyticus_CC31C"
"Limosilactobacillus_reuteri_subsp_reuteri",557436,"Bacteria","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Limosilactobacillus","Limosilactobacillus_reuteri","PUTRESCINE",0.131296974121062,"Limosilactobacillus_reuteri_subsp_reuteri"
"Limosilactobacillus_reuteri_subsp_reuteri",557436,"Bacteria","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Limosilactobacillus","Limosilactobacillus_reuteri","AGMATINE",0.00180391753370937,"Limosilactobacillus_reuteri_subsp_reuteri"
"Limosilactobacillus_reuteri_subsp_reuteri",557436,"Bacteria","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Limosilactobacillus","Limosilactobacillus_reuteri","ORNITHINE",0.554046932211965,"Limosilactobacillus_reuteri_subsp_reuteri"
"Limosilactobacillus_reuteri_subsp_reuteri",557436,"Bacteria","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Limosilactobacillus","Limosilactobacillus_reuteri","CITRULLINE",0.0801673910842461,"Limosilactobacillus_reuteri_subsp_reuteri"
"Bacteroides_caccae_CL03T12C61",997873,"Bacteria","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides_caccae","PUTRESCINE",0.0313995282061965,
"Bacteroides_caccae_CL03T12C61",997873,"Bacteria","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides_caccae","AGMATINE",0.000998133363556354,
"Bacteroides_caccae_CL03T12C61",997873,"Bacteria","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides_caccae","ORNITHINE",0.0200696171447592,
"Bacteroides_caccae_CL03T12C61",997873,"Bacteria","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides_caccae","CITRULLINE",,
"s__Clostridium_sp_D5",556261,"Bacteria","Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium_sp_D5","PUTRESCINE",0.0333356003464875,
"s__Clostridium_sp_D5",556261,"Bacteria","Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium_sp_D5","AGMATINE",0.00471571873435655,
"s__Clostridium_sp_D5",556261,"Bacteria","Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium_sp_D5","ORNITHINE",0.0648641976925539,
"s__Clostridium_sp_D5",556261,"Bacteria","Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium_sp_D5","CITRULLINE",0.0816021096658946,
"Bacteroides_fragilis_NCTC_9343",272559,"Bacteria","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides_fragilis","PUTRESCINE",0.13949019706069,"Bacteroides_fragilis_NCTC_9343"
