id,taxid,domain,kingdom,phylum,class,order,family,genus,species
Bacteroides_caccae_ATCC_43185,411901,Bacteria,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_caccae
Clostridium_scindens_ATCC_35704,411468,Bacteria,Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lachnoclostridium,Clostridium_scindens
Clostridium_saccharolyticum_WM1,610130,Bacteria,Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora_saccharolytica
Limosilactobacillus_reuteri_CF48_3A,525341,Bacteria,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus_reuteri
Bacteroides_xylanisolvens_XB1A,657309,Bacteria,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_xylanisolvens
Eubacterium_ventriosum_ATCC_27560,411463,Bacteria,Bacteria,Firmicutes,Clostridia,Eubacteriales,Eubacteriaceae,Eubacterium,Eubacterium_ventriosum
Blautia_hansenii_DSM_20583,537007,Bacteria,Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,Blautia_hansenii
Enterococcus_faecium_TX1330,525279,Bacteria,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus_faecium
Fusobacterium_ulcerans_12_1B,457404,Bacteria,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium_ulcerans
Streptococcus_thermophilus_LMD_9,322159,Bacteria,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_thermophilus
s__Lachnospiraceae_bacterium_2_1_58FAA,658082,Bacteria,Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lachnospiraceae_bacterium_2_1_58FAA__S+,Lachnospiraceae_bacterium_2_1_58FAA
Anaerococcus_lactolyticus_CC31C,1073349,Bacteria,Bacteria,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Anaerococcus,Anaerococcus_lactolyticus
Limosilactobacillus_reuteri_subsp_reuteri,557436,Bacteria,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus_reuteri
Bacteroides_caccae_CL03T12C61,997873,Bacteria,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_caccae
s__Clostridium_sp_D5,556261,Bacteria,Bacteria,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Clostridium_sp_D5
Bacteroides_fragilis_NCTC_9343,272559,Bacteria,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_fragilis
Bifidobacterium_bifidum_ATCC_29521_JCM_1255_DSM_20456,500634,Bacteria,Bacteria,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium_bifidum
Clostridium_citroniae_WAL_17108,742733,Bacteria,Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Enterocloster,Enterocloster_citroniae
Hungatella_hathewayi_DSM_13479,566550,Bacteria,Bacteria,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,Hungatella,Hungatella_hathewayi
Fusobacterium_nucleatum_subsp_animalis_D11,556264,Bacteria,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium_nucleatum
s__Bacteroides_sp_3_1_19,469592,Bacteria,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_sp_3_1_19
Hungatella_hathewayi_WAL_18680,742737,Bacteria,Bacteria,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,Hungatella,Hungatella_hathewayi
s__Lachnospiraceae_bacterium_1_4_56FAA,658655,Bacteria,Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lachnospiraceae_bacterium_1_4_56FAA__S+,Lachnospiraceae_bacterium_1_4_56FAA
Bacteroides_finegoldii_CL09T03C10,997888,Bacteria,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_finegoldii
Bifidobacterium_longum_NCC2705,206672,Bacteria,Bacteria,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium_longum
Enterococcus_faecium_ERV165,1134822,Bacteria,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus_faecium
Clostridium_symbiosum_WAL_14673,742741,Bacteria,Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lachnoclostridium,Clostridium_symbiosum
Providencia_rustigianii_DSM_4541,500637,Bacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Morganellaceae,Providencia,Providencia_rustigianii
Anaerostipes_caccae_L1_92,411490,Bacteria,Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Anaerostipes,Anaerostipes_caccae
Bacteroides_stercoris_CC31F,1073351,Bacteria,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_stercoris
Phocaeicola_plebeius_DSM_17135,484018,Bacteria,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola_plebeius
Bifidobacterium_dentium_ATCC_27678,473819,Bacteria,Bacteria,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium_dentium
Clostridium_symbiosum_WAL_14163,742740,Bacteria,Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lachnoclostridium,Clostridium_symbiosum
Bifidobacterium_breve_UCC2003,326426,Bacteria,Bacteria,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium_breve
Bifidobacterium_adolescentis_L2_32,411481,Bacteria,Bacteria,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium_adolescentis
Bacteroides_cellulosilyticus_CL02T12C19,997874,Bacteria,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_cellulosilyticus
Clostridium_cadaveris_CC88A,1073357,Bacteria,Bacteria,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Clostridium_cadaveris
Clostridium_perfringens_WAL_14572,742739,Bacteria,Bacteria,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Clostridium_perfringens
Coprococcus_comes_ATCC_27758,470146,Bacteria,Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Coprococcus,Coprococcus_comes
Subdoligranulum_variabile_DSM_15176,411471,Bacteria,Bacteria,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Subdoligranulum,Subdoligranulum_variabile
s__Bacteroides_thetaiotaomicron,818,Bacteria,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_thetaiotaomicron
Ruminococcus_lactaris_CC59_002D,1073376,Bacteria,Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Mediterraneibacter,Ruminococcus_lactaris
Eggerthella_lenta_DSM_2243,479437,Bacteria,Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Eggerthella,Eggerthella_lenta
Parabacteroides_goldsteinii_CC87F,1073364,Bacteria,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides_goldsteinii
s__Bacteroides_fragilis,817,Bacteria,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_fragilis
Bacteroides_fragilis_CL03T12C07,997879,Bacteria,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_fragilis
Bacteroides_cellulosilyticus_DSM_14838,537012,Bacteria,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_cellulosilyticus
s__Bacteroides_sp_4_1_36,457393,Bacteria,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_sp_4_1_36
Slackia_exigua_ATCC_700122,649764,Bacteria,Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Slackia,Slackia_exigua
s__Parabacteroides_sp_D13,563193,Bacteria,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides_sp_D13
Bacteroides_salyersiae_CL02T12C01,997887,Bacteria,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_salyersiae
Clostridium_asparagiforme_DSM_15981,518636,Bacteria,Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Enterocloster,Enterocloster_asparagiformis
Escherichia_coli_str_K_12_substr_MG1655,511145,Bacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia_coli
Bacteroides_fragilis_CL07T12C05,997883,Bacteria,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_fragilis
Proteus_penneri_ATCC_35198,471881,Bacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Morganellaceae,Proteus,Proteus_penneri
Enterobacter_cancerogenus_ATCC_35316,500639,Bacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter_cancerogenus
Enterococcus_faecalis_TX2137,749491,Bacteria,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus_faecalis
Mitsuokella_multacida_DSM_20544,500635,Bacteria,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Mitsuokella,Mitsuokella_multacida
Holdemania_filiformis_DSM_12042,545696,Bacteria,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Holdemania,Holdemania_filiformis
Lactococcus_lactis_subsp_lactis_Il1403,272623,Bacteria,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus_lactis
Clostridium_leptum_DSM_753,428125,Bacteria,Bacteria,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Clostridium_leptum__S+,Clostridium_leptum
s__Bacteroides_sp_1_1_30,457387,Bacteria,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_sp_1_1_30
Lacticaseibacillus_rhamnosus_LMS2_1,525361,Bacteria,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lacticaseibacillus,Lacticaseibacillus_rhamnosus
Bacteroides_ovatus_3_8_47FAA,665954,Bacteria,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_ovatus
Bacteroides_eggerthii_DSM_20697,483216,Bacteria,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_eggerthii
Bacteroides_intestinalis_DSM_17393,471870,Bacteria,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_intestinalis
Clostridium_hylemonae_DSM_15053,553973,Bacteria,Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lachnoclostridium,Clostridium_hylemonae
s__Acidaminococcus_sp_HPA0509,1203555,Bacteria,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,Acidaminococcus_sp_HPA0509
Bacteroides_thetaiotaomicron_VPI_5482,226186,Bacteria,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_thetaiotaomicron
Bacteroides_uniformis_ATCC_8492,411479,Bacteria,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_uniformis
s__Bacteroides_sp_9_1_42FAA,457395,Bacteria,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_sp_9_1_42FAA
Blautia_producta_ATCC_27340_DSM_2950,1121114,Bacteria,Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,Blautia_producta
Citrobacter_youngae_ATCC_29220,500640,Bacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,Citrobacter_youngae
Intestinibacter_bartlettii_DSM_16795,445973,Bacteria,Bacteria,Firmicutes,Clostridia,Eubacteriales,Peptostreptococcaceae,Intestinibacter,Intestinibacter_bartlettii
Lancefieldella_parvulum_CC14Z,1073350,Bacteria,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Atopobiaceae,Lancefieldella,Lancefieldella_parvula
Ligilactobacillus_ruminis_ATCC_25644,525362,Bacteria,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Ligilactobacillus,Ligilactobacillus_ruminis
Phocaeicola_vulgatus_CL09T03C04,997891,Bacteria,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola_vulgatus
Clostridium_bolteae_ATCC_BAA_613,411902,Bacteria,Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Enterocloster,Enterocloster_bolteae
s__Acidaminococcus_intestini,187327,Bacteria,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,Acidaminococcus_intestini
Phocaeicola_dorei_CL02T00C15,997875,Bacteria,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola_dorei
Parabacteroides_distasonis_ATCC_8503,435591,Bacteria,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides_distasonis
Dorea_formicigenerans_ATCC_27755,411461,Bacteria,Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Dorea,Dorea_formicigenerans
Peptostreptococcus_anaerobius_CC14N,1073365,Bacteria,Bacteria,Firmicutes,Clostridia,Eubacteriales,Peptostreptococcaceae,Peptostreptococcus,Peptostreptococcus_anaerobius
Bifidobacterium_catenulatum_DSM_16992_JCM_1194_LMG_11043,566552,Bacteria,Bacteria,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium_catenulatum
Ruminococcus_torques_ATCC_27756,411460,Bacteria,Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Mediterraneibacter,Ruminococcus_torques
Bacteroides_stercoris_ATCC_43183,449673,Bacteria,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_stercoris
Catenibacterium_mitsuokai_DSM_15897,451640,Bacteria,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Coprobacillaceae,Catenibacterium,Catenibacterium_mitsuokai
Streptococcus_parasanguinis_CC87K,1073372,Bacteria,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_parasanguinis
Lacticaseibacillus_rhamnosus_GG,568703,Bacteria,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lacticaseibacillus,Lacticaseibacillus_rhamnosus
Parabacteroides_johnsonii_DSM_18315,537006,Bacteria,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides_johnsonii
Clostridium_bolteae_WAL_14578,742732,Bacteria,Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Enterocloster,Enterocloster_bolteae
Granulicatella_adiacens_ATCC_49175,638301,Bacteria,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Granulicatella,Granulicatella_adiacens
Clostridium_clostridioforme_2_1_49FAA,742735,Bacteria,Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Enterocloster,Enterocloster_clostridioformis
Holdemanella_biformis_DSM_3989,518637,Bacteria,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Holdemanella,Holdemanella_biformis
s__Veillonella_sp_HPA0037,1203593,Bacteria,Bacteria,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Veillonella,Veillonella_sp_HPA0037
Bifidobacterium_pseudocatenulatum_DSM_20438_JCM_1200_LMG_10505,547043,Bacteria,Bacteria,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium_pseudocatenulatum
s__Citrobacter_portucalensis,1639133,Bacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,Citrobacter_portucalensis
Clostridium_clostridioforme_WAL_7855,742736,Bacteria,Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Enterocloster,Enterocloster_clostridioformis
Clostridium_aldenense_WAL_18727,742731,Bacteria,Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Enterocloster,Enterocloster_aldenensis
Lactiplantibacillus_plantarum_WCFS1,220668,Bacteria,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactiplantibacillus,Lactiplantibacillus_plantarum
Clostridium_sporogenes_ATCC_15579,471871,Bacteria,Bacteria,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Clostridium_sporogenes
Ruminococcus_gnavus_CC55_001C,1073375,Bacteria,Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Mediterraneibacter,Ruminococcus_gnavus
Bifidobacterium_longum_subsp_longum_ATCC_55813,548480,Bacteria,Bacteria,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium_longum
s__Anaerostipes_caccae,105841,Bacteria,Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Anaerostipes,Anaerostipes_caccae
Eubacterium_siraeum_DSM_15702,428128,Bacteria,Bacteria,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Eubacterium_siraeum__S+,Eubacterium_siraeum
Fusobacterium_nucleatum_CTI_2,1204475,Bacteria,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium_nucleatum
Clostridium_bolteae_CC43_001B,1073368,Bacteria,Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Enterocloster,Enterocloster_bolteae
Phocaeicola_dorei_DSM_17855,483217,Bacteria,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola_dorei
Dorea_longicatena_DSM_13814,411462,Bacteria,Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Dorea,Dorea_longicatena
Varibaculum_cambriense_AB12_3,1357413,Bacteria,Bacteria,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Varibaculum,Varibaculum_cambriense
Ruminococcus_gnavus_ATCC_29149,411470,Bacteria,Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Mediterraneibacter,Ruminococcus_gnavus
Anaerotruncus_colihominis_DSM_17241,445972,Bacteria,Bacteria,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Anaerotruncus,Anaerotruncus_colihominis
Phocaeicola_coprophilus_DSM_18228_JCM_13818,547042,Bacteria,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola_coprophilus
Tyzzerella_nexilis_DSM_1787,500632,Bacteria,Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Tyzzerella,Tyzzerella_nexilis
Bacteroides_fragilis_CL05T00C42,997880,Bacteria,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_fragilis
Clostridium_cadaveris_CC40_001C,1073355,Bacteria,Bacteria,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Clostridium_cadaveris
Bifidobacterium_longum_subsp_infantis_ATCC_15697_JCM_1222_DSM_20088,391904,Bacteria,Bacteria,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium_longum
s__Ruminococcus_bromii,40518,Bacteria,Bacteria,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Ruminococcus,Ruminococcus_bromii
Parabacteroides_merdae_CL09T00C40,999421,Bacteria,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides_merdae
Bifidobacterium_gallicum_DSM_20093_LMG_11596,561180,Bacteria,Bacteria,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium_gallicum
Desulfovibrio_piger_ATCC_29098,411464,Bacteria,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,Desulfovibrio_piger
Bacteroides_ovatus_ATCC_8483,411476,Bacteria,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_ovatus
Parabacteroides_merdae_ATCC_43184,411477,Bacteria,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides_merdae
s__Bacteroides_sp_D20,585543,Bacteria,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_sp_D20
Marvinbryantia_formatexigens_DSM_14469,478749,Bacteria,Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Marvinbryantia,Marvinbryantia_formatexigens
Acidaminococcus_fermentans_DSM_20731,591001,Bacteria,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,Acidaminococcus_fermentans
Phocaeicola_dorei_CL02T12C06,997876,Bacteria,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola_dorei
Bacteroides_finegoldii_DSM_17565,483215,Bacteria,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_finegoldii
