id,TGG OTU_ID(ANI0.95),dRep OTU_ID(ANI0.95),Type,Contig_numbers,N50,Genome_length,GC,Completeness,Contamination,Strain_heterogeneity,Num_CDS,Num_Gene,Num_5S_rRNA,Num_16S_rRNA,Num_23S_rRNA,Num_tRNA,Quality_score,Quality_tier_standard(MIMAG，10.1038/nbt.3893),GTDB_classification
MAG_KQGRSC.20.08_maxbin2_bin.8,TGG_OTU840,8_1,MAG,790,18420,7290058,0.492199,93.58,2.75,33.33,6123,6216,0,3,7,84,79.83,High,d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__54-19;f__54-19;g__;s__
ISO_B2865-1.002*,TGG_OTU932,874_2,Cultivated,17,613619,4330254,0.399870308,99.24,1.73,0,4302,4393,1,2,2,82,90.59,High,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus zhangzhouensis
MAG_1901QYI1_maxbin2_bin.2,TGG_OTU852,809_1,MAG,214,46569,3693847,0.413246,100,0.28,0,3465,3548,4,5,6,80,98.6,High,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter johnsonii
ISO_102-3*,TGG_OTU902,854_1,Cultivated,54,259720,5261645,0.393482,98.91,1.47,0,5106,5193,3,1,1,80,91.56,High,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae_A;g__Bacillus_X;s__Bacillus_X frigoritolerans
ISO_198-1,TGG_OTU902,854_1,Cultivated,54,233954,5261544,0.394869,98.91,1.47,0,5108,5195,3,1,1,80,91.56,High,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae_A;g__Bacillus_X;s__Bacillus_X frigoritolerans
ISO_M290-2-1.001,TGG_OTU910,861_1,Cultivated,123,71600,3782193,0.357348,97.75,1.25,0,3793,3876,3,3,0,79,91.5,Medium,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae_C;g__Bacillus_U;s__Bacillus_U sporothermodurans
ISO_DWP3-1,TGG_OTU933,874_3,Cultivated,192,433267,3674759,0.586276,99.48,0.26,0,3645,3736,10,8,6,79,98.18,High,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus pumilus
MAG_GLYI1.20.09_metabat2_bin.33*,TGG_OTU271,335_1,MAG,189,50139,5904329,0.717423,98.96,0.49,0,5372,5455,4,0,0,78,96.51,High,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylobacterium;s__Methylobacterium aquaticum_B
ISO_DSP3-2-1,TGG_OTU933,874_3,Cultivated,221,433267,3684681,0.623084,99.48,0.49,0,3648,3740,11,8,6,78,97.03,High,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus pumilus
ISO_TWP2-2-2,TGG_OTU933,874_3,Cultivated,139,433267,3656089,0.512482,99.48,0.01,0,3642,3733,10,8,6,78,99.43,High,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus pumilus
MAG_TGLSC.20.08_vamb_bins_S1C4176,TGG_OTU421,463_1,MAG,366,29666,8526666,0.692558,90.18,3.87,0,7034,7113,1,0,0,77,70.83,High,d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Polyangiaceae;g__Byssovorax;s__
ISO_PSPC3-1.001*,TGG_OTU550,570_2,Cultivated,95,142825,6864323,0.614913,100,1.93,12.5,6079,6165,7,6,1,77,90.35,High,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Janthinobacterium;s__
ISO_DWP3-1-1*,TGG_OTU552,571_2,Cultivated,61,385684,6113912,0.619408654,99.75,0.93,0,5387,5474,2,2,2,77,95.1,High,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Janthinobacterium;s__
ISO_R7-7.001,TGG_OTU902,854_1,Cultivated,104,168109,5453120,0.389525,98.72,1.58,0,5300,5383,3,1,1,77,90.82,Medium,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae_A;g__Bacillus_X;s__Bacillus_X frigoritolerans
ISO_Y-RC-72-1.001,TGG_OTU481,515_1,Cultivated,93,100956,3886813,0.646868012,97.6,0.36,0,3555,3636,0,1,0,76,95.8,Medium,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Comamonas;s__Comamonas aquatica
ISO_Y-RC-72-2A2.001*,TGG_OTU481,515_1,Cultivated,53,153082,3577850,0.647317,97.6,0.36,0,3248,3329,0,1,0,76,95.8,Medium,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Comamonas;s__Comamonas aquatica
ISO_Y254-3-2-2*,TGG_OTU554,571_4,Cultivated,95,170529,6317039,0.606948,99.59,1.88,11.11,5550,5636,1,1,2,76,90.19,High,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Janthinobacterium;s__
ISO_B2188*,TGG_OTU852,809_1,Cultivated,108,91691,3639148,0.395345,100,0.04,0,3473,3552,0,1,2,76,99.8,Medium,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter johnsonii
ISO_GM-2-2,TGG_OTU852,809_1,Cultivated,202,43605,3519583,0.396698,99.86,0,0,3352,3431,0,2,1,76,99.86,Medium,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter johnsonii
ISO_Y945.002,TGG_OTU902,854_1,Cultivated,55,233954,5370700,0.38728,98.91,2.02,0,5254,5334,3,0,0,76,88.81,Medium,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae_A;g__Bacillus_X;s__Bacillus_X frigoritolerans
ISO_Y112-3-1,TGG_OTU551,571_1,Cultivated,66,607559,6477709,0.628194,99.66,0.58,0,5579,5664,2,1,1,75,96.76,High,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Janthinobacterium;s__
ISO_Y293-3-1*,TGG_OTU551,571_1,Cultivated,66,696887,6475083,0.630517,99.66,0.58,0,5567,5652,0,1,1,75,96.76,Medium,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Janthinobacterium;s__
MAG_KQGRSC.20.08_vamb_bins_S1C1596,TGG_OTU831,792_1,MAG,1011,6508,5339311,0.453307,84.49,3.17,86.67,4613,4697,0,4,7,75,68.64,Medium,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Phormidiaceae;g__Microcoleus;s__
ISO_B2790-1,TGG_OTU852,809_1,Cultivated,102,78548,3620186,0.398586,100,0.31,0,3451,3529,0,1,1,75,98.45,Medium,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter johnsonii
ISO_RC12-3*,TGG_OTU561,576_2,Cultivated,114,166396,6066387,0.65100545,99.95,1.6,0,5179,5265,2,2,3,74,91.95,High,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Massilia;s__Massilia timonae
ISO_TWP2-2-3*,TGG_OTU851,808_1,Cultivated,208,194469,3197894,0.455846,99.66,0,0,2975,3057,5,1,5,74,99.66,High,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter sp002367455
MAG_1907PLC1_metabat2_bin.88,TGG_OTU2,10_1,MAG,696,11822,6174277,0.493671,91.49,3.21,0,5142,5216,0,1,0,73,75.44,Medium,d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__54-19;f__54-19;g__;s__
ISO_GLY5-6-2.001,TGG_OTU639,638_1,Cultivated,21,459814,4363890,0.625401,100,0.66,0,3807,3889,2,1,0,73,96.7,Medium,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Stenotrophomonas;s__Stenotrophomonas maltophilia_Z
MAG_1907NJYTI1_maxbin2_bin.12.002,TGG_OTU848,806_1,MAG,532,18002,4087148,0.395309,97.99,4.39,57.14,3781,3856,1,2,1,73,76.04,High,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter albensis
ISO_TSRC1-3,TGG_OTU849,807_1,Cultivated,156,172584,3422793,0.475034,100,0.27,100,3229,3309,8,7,11,73,98.65,High,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__
ISO_Y569,TGG_OTU851,808_1,Cultivated,193,37792,3339665,0.413449,99.93,0.04,0,3199,3276,1,1,2,73,99.73,High,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter fasciculus
ISO_ZD-11,TGG_OTU851,808_1,Cultivated,129,62686,3439951,0.407719,99.93,0.13,0,3207,3283,0,1,1,73,99.28,Medium,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter lwoffii
ISO_Y110-1,TGG_OTU923,872_1,Cultivated,22,1028980,4214638,0.473338,98.96,2.61,0,4132,4209,1,1,1,73,85.91,High,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus atrophaeus
ISO_106,TGG_OTU931,874_1,Cultivated,55,208621,3850950,0.409328,99.48,0.35,0,3926,4002,1,1,1,73,97.73,High,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus altitudinis
ISO_RC15-6-2,TGG_OTU931,874_1,Cultivated,55,208621,3850606,0.409325,99.48,0.35,0,3925,4001,1,1,1,73,97.73,High,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus altitudinis
ISO_Y477-5,TGG_OTU931,874_1,Cultivated,55,208621,3850888,0.409443,99.48,0.35,0,3924,4000,1,1,1,73,97.73,High,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus altitudinis
MAG_1907MDGRS_metabat2_bin.5,TGG_OTU549,570_1,MAG,209,43033,6148650,0.625882,97.16,0.82,60,5527,5607,2,0,0,72,93.06,Medium,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Janthinobacterium;s__
MAG_1908KQGRS3_maxbin2_bin.7,TGG_OTU856,812_1,MAG,109,85345,4667387,0.381193,99.86,2.8,40,4358,4432,0,1,3,72,85.86,Medium,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter guillouiae
ISO_T3196-2*,TGG_OTU863,819_0,Cultivated,71,253624,5102721,0.531578,99.7,0.49,0,4750,4829,2,2,1,72,97.25,High,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Leclercia;s__Leclercia adecarboxylata
ISO_R6-1-2-2.002,TGG_OTU909,860_1,Cultivated,22,616959,2724394,0.322699,99.44,1.25,0,2729,2805,1,1,0,72,93.19,Medium,d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus saprophyticus
ISO_Y462-1.002,TGG_OTU902,854_1,Cultivated,43,259720,5250926,0.392079,98.91,1.47,0,5100,5177,3,1,2,71,91.56,Medium,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae_A;g__Bacillus_X;s__Bacillus_X frigoritolerans
ISO_Y874-1.003,TGG_OTU902,854_1,Cultivated,46,245250,5249450,0.385479,98.91,1.47,0,5101,5177,3,1,0,71,91.56,Medium,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae_A;g__Bacillus_X;s__Bacillus_X frigoritolerans
ISO_TWP1-3-3*,TGG_OTU574,587_1,Cultivated,381,195866,6506026,0.586411,99.92,2.03,7.69,5493,5566,4,6,10,70,89.77,High,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Massilia;s__
ISO_Y-RC-72-2A2.002,TGG_OTU622,623_1,Cultivated,68,571991,4992799,0.560858148,100,0.04,0,4666,4743,0,3,2,70,99.8,Medium,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pantoea;s__Pantoea brenneri
MAG_1908KQGRS2_metabat2_bin.16,TGG_OTU279,341_1,MAG,421,25764,6139065,0.653523,95,4.89,36,6009,6075,0,1,0,69,70.55,Medium,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Bosea;s__
MAG_TGLSC.20.08_metabat2_bin.90,TGG_OTU421,463_1,MAG,489,23117,7451299,0.689037,72.03,2.6,0,6169,6242,3,0,0,69,59.03,Medium,d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Polyangiaceae;g__Byssovorax;s__
ISO_Y-RC-11-8-2A2*,TGG_OTU622,623_1,Cultivated,37,571991,4731020,0.526562,100,0.04,0,4405,4476,0,1,1,69,99.8,Medium,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pantoea;s__Pantoea brenneri
MAG_1901QYI1_metabat2_bin.29,TGG_OTU852,809_1,MAG,97,52086,3325303,0.410523,99.93,0.04,0,3140,3208,2,0,0,69,99.73,Medium,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter johnsonii
ISO_Y254-1-2,TGG_OTU897,85_1,Cultivated,29,461540,5325955,0.37788,100,0.71,0,4491,4565,2,1,1,69,96.45,High,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Sphingobacterium;s__Sphingobacterium sp000938735
ISO_Y251-3-1.001,TGG_OTU897,85_1,Cultivated,47,348514,5169949,0.367097,100,0.95,0,4409,4484,1,1,1,69,95.25,High,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Sphingobacterium;s__Sphingobacterium sp000938735
ISO_Y402-1.002,TGG_OTU923,872_1,Cultivated,24,501011,4120532,0.431744,98.96,0.53,0,4040,4111,1,1,0,69,96.31,Medium,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus atrophaeus
MAG_1907QMI1_metabat2_bin.67,TGG_OTU546,569_1,MAG,212,41433,5688835,0.631508,94.95,2.3,30,4953,5028,0,1,0,68,83.45,Medium,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Janthinobacterium;s__
ISO_B2780-1*,TGG_OTU560,576_1,Cultivated,37,510745,5908577,0.628025,99.85,0.08,0,5177,5258,1,1,2,68,99.45,High,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Massilia;s__
ISO_PWRC2*,TGG_OTU568,581_0,Cultivated,61,321623,5094693,0.628758593,99.63,0.39,0,4443,4521,1,20,9,68,97.68,High,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Massilia;s__
MAG_QTS.20.06_metabat2_bin.37,TGG_OTU571,584_1,MAG,76,123286,5013850,0.638868,84.33,0.73,83.33,4276,4347,1,0,0,68,80.68,Medium,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Duganella;s__Duganella phyllosphaerae
ISO_TWR1-1-3*,TGG_OTU583,595_1,Cultivated,182,1143925,5071330,0.463338,99.92,0.36,0,4565,4657,11,11,19,68,98.12,High,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E fragi_B
ISO_Y280-1,TGG_OTU622,623_1,Cultivated,45,571991,4762495,0.52461,100,0.04,0,4446,4518,0,1,1,68,99.8,Medium,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pantoea;s__Pantoea brenneri
ISO_Y-RC-72-3,TGG_OTU622,623_1,Cultivated,47,472847,4762719,0.527268,100,0.04,0,4445,4517,0,1,1,68,99.8,Medium,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pantoea;s__Pantoea brenneri
ISO_Y253-3-2-3*,TGG_OTU623,624_0,Cultivated,29,457569,4760284,0.556092,100,0.36,0,4351,4424,1,1,2,68,98.2,High,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pantoea;s__Pantoea agglomerans
ISO_N630-3,TGG_OTU638,637_1,Cultivated,25,785532,4753953,0.5997,99.45,1.73,0,4122,4200,1,1,1,68,90.8,High,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Stenotrophomonas;s__Stenotrophomonas sp002893095
MAG_1807DKMD3_maxbin2_bin.5,TGG_OTU850,807_2,MAG,280,84179,3700650,0.406584,100,2.05,16.67,3393,3462,1,1,1,68,89.75,High,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter sp004331285
ISO_Y429-1.002*,TGG_OTU857,813_1,Cultivated,30,254964,3653229,0.388753,99.91,0.84,0,3390,3458,0,1,0,68,95.71,Medium,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter ursingii
ISO_Y136-3,TGG_OTU897,85_1,Cultivated,48,348510,5174351,0.365294,100,0.95,0,4412,4487,2,1,1,68,95.25,High,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Sphingobacterium;s__Sphingobacterium sp000938735
ISO_Y426-3-2,TGG_OTU897,85_1,Cultivated,48,348510,5174394,0.364993,100,0.95,0,4413,4488,2,1,1,68,95.25,High,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Sphingobacterium;s__Sphingobacterium sp000938735
ISO_B2157-3,TGG_OTU915,865_2,Cultivated,128,103150,4131397,0.37492,99.34,1.97,0,4133,4208,3,1,2,68,89.49,High,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Paenisporosarcina;s__
ISO_RC5-1*,TGG_OTU926,873_3,Cultivated,49,256343,5453384,0.368648,98.43,0.97,6.25,5429,5505,0,2,2,68,93.58,Medium,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae_G;g__Bacillus_A;s__Bacillus_A paranthracis
ISO_105,TGG_OTU931,874_1,Cultivated,54,213231,3733821,0.410408,99.48,0.21,0,3783,3855,1,1,1,68,98.43,High,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus altitudinis
ISO_Y1064-2A2.002,TGG_OTU931,874_1,Cultivated,54,116584,3731071,0.416619,99.48,0.21,0,3780,3853,2,1,1,68,98.43,High,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus altitudinis
ISO_Y459-1*,TGG_OTU931,874_1,Cultivated,14,970722,3670770,0.43461,99.48,0,0,3706,3779,2,1,1,68,99.48,High,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus altitudinis
ISO_AS5674-3*,TGG_OTU558,575_1,Cultivated,19,785374,5232749,0.638160936,99.9,0.43,0,4518,4596,1,1,4,67,97.75,High,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Massilia;s__
ISO_AS5774-1,TGG_OTU558,575_1,Cultivated,19,785374,5232737,0.638163355,99.9,0.43,0,4520,4598,1,1,4,67,97.75,High,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Massilia;s__
ISO_Y946-1A3,TGG_OTU851,808_1,Cultivated,174,50466,3376068,0.405158,99.93,0.31,0,3222,3292,0,1,2,67,98.38,Medium,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter idrijaensis
ISO_Y87-2-2,TGG_OTU897,85_1,Cultivated,24,418246,5295091,0.387476,100,0.95,0,4512,4585,1,1,2,67,95.25,High,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Sphingobacterium;s__Sphingobacterium sp000938735
ISO_B2705-1,TGG_OTU913,864_1,Cultivated,109,192240,4121562,0.363687,99.34,0,0,4112,4186,3,1,1,67,99.34,High,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Paenisporosarcina;s__
ISO_B2339-3,TGG_OTU914,865_1,Cultivated,59,130259,3863997,0.3859,99.34,1.32,0,3763,3838,5,1,2,67,92.74,High,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Paenisporosarcina;s__
ISO_Y184.002,TGG_OTU926,873_3,Cultivated,42,239365,5526123,0.356989,98.43,0.82,14.29,5558,5625,0,1,0,67,94.33,Medium,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae_G;g__Bacillus_A;s__Bacillus_A paranthracis
MAG_1905ZF6400I1_maxbin2_bin.7,TGG_OTU186,263_1,MAG,374,83521,4967306,0.587557,98.64,3.28,25,4595,4659,0,0,0,66,82.24,Medium,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Herminiimonas;s__
